0.9532,0.6949,0.4451,0.8426
0.7954,0.8346,0.0449,0.6676
0.1427,0.0480,0.6267,0.3780
0.1516,0.9824,0.0827,0.4627
0.4868,0.6223,0.7462,0.8116
0.3408,0.5115,0.0783,0.4559
0.8146,0.6378,0.5837,0.8628
0.2820,0.5409,0.7256,0.6939
0.5716,0.2958,0.5477,0.6619
0.9323,0.0229,0.4797,0.5731
0.2907,0.7245,0.5165,0.6911
0.0068,0.0545,0.0861,0.0851
0.2636,0.9885,0.2175,0.5847
0.0350,0.3653,0.7801,0.5117
0.9670,0.3031,0.7127,0.7836
0.0000,0.7763,0.8735,0.6388
0.4395,0.0501,0.9761,0.5712
0.9359,0.0366,0.9514,0.6826
0.0173,0.9548,0.4289,0.5527
0.6112,0.9070,0.6286,0.8803
0.2010,0.9573,0.6791,0.7283
0.8914,0.9144,0.2641,0.7966
0.0061,0.0802,0.8621,0.3711
0.2212,0.4664,0.3821,0.5260
0.2401,0.6964,0.0751,0.4637
0.7881,0.9833,0.3038,0.8049
0.2435,0.0794,0.5551,0.4223
0.2752,0.8414,0.2797,0.6079
0.7616,0.4698,0.5337,0.7809
0.3395,0.0022,0.0087,0.1836
0.7849,0.9981,0.4449,0.8641
0.8312,0.0961,0.2129,0.4857
0.9763,0.1102,0.6227,0.6667
0.8597,0.3284,0.6932,0.7829
0.9295,0.3275,0.7536,0.8016
0.2435,0.2163,0.7625,0.5449
0.9281,0.8356,0.5285,0.8991
0.8313,0.7566,0.6192,0.9047
0.1712,0.0545,0.5033,0.3561
0.0609,0.1702,0.4306,0.3310
0.5899,0.9408,0.0369,0.6245
0.7858,0.5115,0.0916,0.6066
1.0000,0.1653,0.7103,0.7172
0.2007,0.1163,0.3431,0.3385
0.2306,0.0330,0.0293,0.1590
0.8477,0.6378,0.4623,0.8254
0.9677,0.7895,0.9467,0.9782
0.0339,0.4669,0.1526,0.3250
0.0080,0.8988,0.4201,0.5404
0.9955,0.8897,0.6175,0.9360
0.7408,0.5351,0.2732,0.6949
0.6843,0.3737,0.1562,0.5625
0.8799,0.7998,0.3972,0.8399
0.5700,0.5111,0.2418,0.6258
0.6796,0.4117,0.3370,0.6622
0.3567,0.2967,0.6037,0.5969
0.3866,0.8390,0.0232,0.5316
0.0271,0.7788,0.7445,0.6335
0.8174,0.8422,0.3229,0.8068
0.6027,0.1468,0.3759,0.5342
0.1203,0.3260,0.5419,0.4768
0.1325,0.2082,0.4934,0.4105
0.6950,1.0000,0.4321,0.8404
0.0036,0.1940,0.3274,0.2697
0.2650,0.0161,0.5947,0.4125
0.5849,0.6019,0.4376,0.7464
0.0108,0.3538,0.1810,0.2800
0.9008,0.7264,0.9184,0.9602
0.0023,0.9659,0.3182,0.4986
0.1366,0.6357,0.6967,0.6459
0.8621,0.7353,0.2742,0.7718
0.0682,0.9624,0.4211,0.5764
0.6112,0.6014,0.5254,0.7868
0.0030,0.7585,0.8928,0.6388
0.7644,0.5964,0.0407,0.6055
0.6441,0.2097,0.5847,0.6545
0.0803,0.3799,0.6020,0.4991
0.1908,0.8046,0.5402,0.6665
0.6937,0.3967,0.6055,0.7595
0.2591,0.0582,0.3978,0.3604
0.4241,0.1850,0.9066,0.6298
0.3332,0.9303,0.2475,0.6287
0.3625,0.1592,0.9981,0.5948
0.9259,0.0960,0.1645,0.4716
0.8606,0.6779,0.0033,0.6242
0.0838,0.5472,0.3758,0.4835
0.0303,0.9191,0.7233,0.6491
0.9293,0.8319,0.9664,0.9840
0.7268,0.1440,0.9753,0.7096
0.2888,0.6593,0.4078,0.6328
0.5515,0.1364,0.2894,0.4745
0.7683,0.0067,0.5546,0.5708
0.6462,0.6761,0.8340,0.8933
0.3694,0.2212,0.1233,0.3658
0.2706,0.3222,0.9996,0.6310
0.6282,0.1404,0.8474,0.6733
0.5861,0.6693,0.3818,0.7433
0.6057,0.9901,0.5141,0.8466
0.5915,0.5588,0.3055,0.6787
0.8359,0.4145,0.5016,0.7597
0.5497,0.6319,0.8382,0.8521
0.7072,0.1721,0.3812,0.5772
0.1185,0.5084,0.8376,0.6211
0.6365,0.5562,0.4965,0.7693
0.4145,0.5797,0.8599,0.7878
0.2575,0.5358,0.4028,0.5777
0.2026,0.3300,0.3054,0.4261
0.3385,0.0476,0.5941,0.4625
0.4094,0.1726,0.7803,0.6015
0.1261,0.6181,0.4927,0.5739
0.1224,0.4662,0.2146,0.4007
0.6793,0.6774,1.0000,0.9141
0.8176,0.0358,0.2506,0.4707
0.6937,0.6685,0.5075,0.8220
0.2404,0.5411,0.8754,0.6980
0.6553,0.2609,0.1188,0.4851
0.8886,0.0288,0.2604,0.4802
0.3974,0.5275,0.6457,0.7215
0.2108,0.4910,0.5432,0.5913
0.8675,0.5571,0.1849,0.6805
0.5693,0.0242,0.9293,0.6033
0.8439,0.4631,0.6345,0.8226
0.3644,0.2948,0.3937,0.5240
0.2014,0.6326,0.9782,0.7143
0.4039,0.0645,0.4629,0.4547
0.7137,0.0670,0.2359,0.4602
0.4277,0.9555,0.0000,0.5477
0.0259,0.7634,0.2889,0.4738
0.1871,0.7682,0.9697,0.7397
0.3216,0.5420,0.0677,0.4526
0.2524,0.7688,0.9523,0.7711
0.3621,0.5295,0.2521,0.5571
0.2942,0.1625,0.2745,0.3759
0.8180,0.0023,0.1439,0.4018
0.8429,0.1704,0.5251,0.6563
0.9612,0.6898,0.6630,0.9128
0.1009,0.4190,0.0826,0.3055
0.7071,0.7704,0.8328,0.9298
0.3371,0.7819,0.0959,0.5377
0.9931,0.6727,0.3139,0.7829
0.9123,0.0000,0.1106,0.3944
